country,country_code,govt_health_exp,comp_educ,mmr,gdp,gdp_per_capita,private_health_exp,oop_health_exp,fertility_rate,sab,num_physicians,total_health_exp,rule_of_law,female_pop
United States,USA,5275.91969351,12,19,20533057312000,62823.309438197,5008.63459575,1163.77429771,1.7295,99.1,2.57,10284.5546875,1.47568666934967,107088472
European Union,EUU,2650.81744890479,10,6,15980992271824.9,35751.5725841052,887.621369457815,557.558889802768,1.54224471937495,NA,NA,3538.8061114537,NA,144241978
Afghanistan,AFG,2.77333833,9,663,18053222734.8881,492.090632280226,54.48353409,54.37316713,5.002,58.8,0.304,71.33431075,-1.68858671188354,9638249
Albania,ALB,148.73204785,9,5,15156424015.1977,5287.66080067575,198.38815467,198.18522041,1.44,99.8,2.163,350.83456421,-0.414187848567963,974760
Algeria,DZA,169.78751561,10,79,174910684781.571,4171.79038755546,87.99286666,84.13257964,3.023,NA,1.732,257.84985352,-0.807303428649902,13130562
American Samoa,ASM,NA,NA,NA,639000000,13195.9358995539,NA,NA,NA,NA,NA,NA,1.29671347141266,15827
Andorra,AND,2262.30161877,10,NA,3218418631.67579,42904.8115883352,925.70170622,390.43201215,NA,NA,NA,3188.00317383,1.53662586212158,26525
Angola,AGO,35.776171,6,233,79450688232.0011,2540.50887797043,45.26545525,30.42537181,5.519,NA,0.211,83.89920044,-1.00093221664429,8278079
Antigua and Barbuda,ATG,510.53232213,11,19,1661529629.62963,18133.8226008953,338.47630235,201.07239926,1.371,NA,NA,849.83349609,0.376565635204315,34112
Argentina,ARG,704.5696963,14,34,524819892360.176,11795.1627452798,414.49653503,312.39981665,2.039,99.5,NA,1122.47497559,-0.219662562012672,14219710
Armenia,ARM,54.22624322,12,25,12457940694.7395,4391.92326991474,379.85774904,370.33648548,1.572,NA,NA,439.4309082,-0.19733352959156,1064844
Aruba,ABW,NA,13,NA,3276184357.5419,30918.483584133,NA,NA,1.587,NA,NA,NA,1.2594119310379,38292
Australia,AUS,4193.43605417,10,4,1429733668185.91,57273.5204750079,1670.95823898,951.34351576,1.74,98.7,3.747,5864.39453125,1.67455554008484,8221071
Austria,AUT,3975.25710759,13,6,454991174096.102,51466.5565633634,1361.96089775,983.40091927,1.47,98.4,5.241,5337.21826172,1.85344958305359,2932415
Azerbaijan,AZE,43.09521869,10,28,47112470051.7701,4739.7943123408,120.84544938,120.84544938,1.73,99.39,3.2,165.02490234,-0.619775176048279,3544137
"Bahamas, The",BHS,959.63028391,12,77,12653600000,31483.9788408235,951.50786894,525.21143654,1.412,99,NA,1920.34106445,0.0695338472723961,148687
Bahrain,BHR,617.18744003,9,14,37802005319.1489,25415.8466249472,431.87386284,314.75591259,1.93,99.6,NA,1049.06130287,0.38398140668869,390955
Bangladesh,BGD,9.3824752,5,172,321379127909.353,1963.41249219641,32.75334024,31.6252692,2.04,52.7,0.573,44.74491119,-0.649730861186981,55324144
Barbados,BRB,534.39199325,11,47,5110250000,18271.2522525099,644.92359834,555.20601943,1.619,99,NA,1193.49279785,0.363926589488983,98514
Belarus,BLR,241.47359314,9,1,60031173807.7196,6360.05310087258,100.03036813,87.07765105,1.448,NA,4.386,342.21109009,-0.892303824424744,3308869
Belgium,BEL,3972.55603651,12,5,543299066998.902,47544.9811472757,1169.81131801,916.24016312,1.62,NA,3.124,5142.3671875,1.33861649036407,3646250
Belize,BLZ,196.69799545,8,78,2292787335.62452,6001.02426184093,82.74037526,66.4881739,2.345,94.8,1.081,286.59945679,-0.842277705669403,125017
Benin,BEN,5.85860563,6,542,14262408079.7014,1194.43821427144,14.8521438,13.1798757,5.199,78.1,0.076,29.65632439,-0.691577911376953,3230146
Bermuda,BMU,NA,13,NA,7225977000,113050.73688163,NA,NA,1.3,NA,NA,NA,0.816888570785522,21762
Bhutan,BTN,80.90132048,NA,57,2583335723.83252,3389.77730342702,14.64338129,13.38750223,1.569,96.2,0.42,101.69933319,0.548555254936218,242359
Bolivia,BOL,166.53904844,14,171,40287647930.5355,3471.0069506501,58.95140872,50.67777075,2.73,71.5,NA,229.22540283,-1.21184551715851,3628433
Bosnia and Herzegovina,BIH,368.76448751,9,6,20484053868.9246,6024.49314979655,156.8061069,154.70989196,1.384,99.9,NA,527.80950928,-0.22513185441494,1156720
Botswana,BWA,287.81510518,NA,162,17031943186.1353,6947.81784114167,96.02116766,21.42668595,2.903,NA,0.348,419.65444946,0.383702307939529,786625
Brazil,BRA,354.73819906,14,59,1916933898038.36,9121.02099480377,507.80598203,214.31223565,1.749,98.8,NA,863.28173828,-0.302387714385986,74286342
British Virgin Islands,VGB,NA,12,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,11805
Brunei Darussalam,BRN,717.1890248,9,45,13566937673.7966,31240.5017887246,36.62283147,36.62283147,1.848,NA,NA,753.81182861,0.598773419857025,149378
Bulgaria,BGR,397.63744044,11,7,66370132238.3914,9447.65589681469,292.26788429,279.53160865,1.56,NA,4.168,689.90539551,-0.105625674128532,2228549
Burkina Faso,BFA,16.57909433,10,277,15890066221.2882,779.202768619387,16.50148803,13.97500933,5.069,NA,0.083,39.00283813,-0.458880722522736,5414578
Burundi,BDI,5.71501108,NA,518,2667182199.51333,232.060616627711,5.53632575,5.22598556,5.38,NA,0.094,19.5513401,-1.5139068365097,2912702
Cabo Verde,CPV,110.48407172,10,48,2205099506.99994,3860.4548075811,51.03150491,46.68150375,1.964,97.3,0.791,178.55148315,0.393016159534454,189060
Cambodia,KHM,25.33243338,NA,209,24571753583.3935,1533.31598466079,62.75183361,57.43590025,2.435,NA,NA,94.20539856,-1.13457536697388,5264988
Cameroon,CMR,5.60053475,6,424,39973842087.2242,1594.06011023775,43.85427208,41.69515486,4.694,69,0.13,57.7002182,-1.10289537906647,6840394
Canada,CAN,3529.81420362,10,11,1725329192783.02,46548.6384108296,1522.86364531,768.2069898,1.51,98,2.428,5052.67773438,1.71509540081024,12298460
Cayman Islands,CYM,NA,12,NA,5530178440.71376,85231.7742542655,NA,NA,NA,NA,NA,NA,0.739916861057281,24309
Central African Republic,CAF,3.07953922,10,868,2220979146.11241,435.93229660798,20.83132876,20.49283104,6.037,NA,0.066,49.17564392,-1.71663010120392,1259061
Chad,TCD,4.59823476,10,1076,11239167898.3395,720.265101427085,21.46248007,20.79918634,6.464,NA,0.052,32.30886459,-1.33120822906494,3902981
Channel Islands,CHI,NA,NA,NA,10422948632.4216,62316.2199488315,NA,NA,1.435,NA,NA,NA,NA,56720
Chile,CHL,740.6114733,12,15,295857562826.427,15820.0333571155,716.66128939,484.49549239,1.564,99.8,2.595,1457.27270508,0.939828157424927,6433627
China,CHN,284.78994813,9,20,13894907857925.9,9905.40638307759,220.00651676,180.46921254,1.554,NA,2.124,504.79974365,-0.186719536781311,478485792
Colombia,COL,370.36022442,12,63,334198218100.719,6782.03792033195,146.79824188,78.24994094,1.787,98.4,2.202,517.15844727,-0.383665770292282,17267700
Comoros,COM,11.62172647,6,244,1188797449.96029,1531.33781085759,53.03470224,50.05427984,4.196,NA,0.283,74.43584442,-1.14288461208344,220251
"Congo, Dem. Rep.",COD,2.69579114,6,543,47568210009.8172,546.212593203883,8.88647899,7.43936765,6.302,85.2,0.362,17.87852287,-1.80321037769318,22285490
"Congo, Rep.",COG,16.84150288,10,370,14773806078.1348,2715.24310477161,28.22403309,23.96071207,4.367,NA,0.1,47.67589569,-1.13426172733307,1512522
Costa Rica,CRI,653.15350934,13,18,62420164991.5374,12383.1499522763,249.01156012,202.24572124,1.709,98.5,2.87,902.22119141,0.467701107263565,1725553
Cote d'Ivoire,CIV,20.62832043,10,522,58522477744.5444,2295.54033462887,41.62905468,27.88107144,4.611,NA,0.22,70.97071075,-0.602161288261414,6902315
Croatia,HRV,844.80914252,8,5,61481309636.1289,15040.0369182791,179.77175422,116.67656213,1.47,NA,3.383,1024.62418864,0.301379770040512,1318276
Cuba,CUB,863.54352675,9,39,100050036096.123,8831.91040872027,108.73706463,108.73706463,1.631,99.9,8.427,973.13745117,-0.464358031749725,3889845
Curacao,CUW,NA,14,NA,3046364819.53197,19119.1244887029,NA,NA,1.7,NA,NA,NA,NA,55872
Cyprus,CYP,849.24345412,10,59,25523485042.6265,29335.046875,1164.065038,896.41664259,1.32,98.3,2.908,2020.73339844,0.721238017082214,423458
Czechia,CZE,1482.13306676,10,3,249000540729.179,23424.4804601855,271.06567772,248.72090025,1.71,NA,4.074,1753.19909668,1.01989901065826,3381126
Denmark,DNK,5219.89087357,10,5,356841216410.068,61591.9288698958,1012.82908636,861.61588435,1.73,95.3,4.215,6232.72167969,1.77329659461975,1835451
Djibouti,DJI,31.85686306,10,257,2913466732.12507,2755.83829341814,19.87274253,18.76628259,2.929,NA,NA,64.47797394,-0.950232684612274,338362
Dominica,DMA,321.71265723,12,NA,554770370.37037,7833.19501250117,154.02964856,149.78128592,1.617,100,1.116,484.5222168,0.704500496387482,24563
Dominican Republic,DOM,200.6990248,15,109,85555390139.118,7947.15933093481,122.87957763,94.83110036,2.381,99.7,1.392,327.90109253,-0.365889728069305,3486572
Ecuador,ECU,311.63624662,15,71,107562008000,6321.34940071717,184.99333931,151.46208012,2.133,95.9225117354922,NA,497.168396,-0.663210570812225,5549394
