Year,EUU,USA
2003,1547.30466200824,2567.21701159
2004,1761.13328414651,2746.64386215
2005,1848.15639799512,2911.55857964
2006,1944.52818432662,3138.06602629
2007,2216.25142405013,3304.99803999
2008,2527.84574194618,3490.28462151
2009,2485.61522957005,3688.40547034
2010,2429.18661737376,3827.50361949
2011,2604.53839152292,3925.87394293
2012,2428.23988443349,4040.63410973
2013,2558.33501966137,4175.36185101
2014,2612.24078894435,4484.16355292
2015,2254.76301859353,4748.71734282
2016,2321.9435499507,4906.42968228
2017,2453.03278964324,5057.32669418
2018,2650.81744890479,5275.91969351
2019,2609.05395441504,5495.16738813
2020,2862.24046190312,6643.35768647
