Country Name,MMR,GDP,fertility_rate,SAB,private_health_exp,govt_health_exp,tertiary_school_enroll,female_pop,num_physicians
Afghanistan,663,18418860354.4238,5.002,58.8,54.48353409,2.77333833,5.00381994247437,9638249,0.2966
Albania,5,15156424061.9815,1.44,99.8,198.38815467,148.73204785,67.8576431274414,974760,NA
Algeria,79,174910891124.491,3.023,NA,87.99286666,169.78751561,67.0391235351562,13130562,1.7193
American Samoa,NA,639000000,NA,NA,NA,NA,NA,15827,NA
Andorra,NA,3218419896.93327,NA,NA,925.70170622,2262.30161877,16.727840423584,26525,NA
Angola,233,77792944471.9494,5.519,NA,45.26545525,35.776171,8.42012405395508,8278079,0.214
Antigua and Barbuda,19,1604770370.37037,1.371,NA,338.47630235,510.53232213,NA,34112,NA
Argentina,34,524819898586.906,2.039,99.5,414.49653503,704.5696963,114.81436920166,14219710,NA
Armenia,25,12457940705.3088,1.572,NA,379.85774904,54.22624322,62.0965385437012,1064844,NA
Aruba,NA,3276187709.49721,1.587,NA,NA,NA,NA,38292,NA
Australia,4,1428266513154.48,1.74,98.7,1670.95823898,4193.43605417,119.994178771973,8222185,3.7595
Austria,6,454991174096.094,1.47,98.4,1361.96089775,3975.25710759,94.4988479614258,2932415,5.2114
Azerbaijan,28,47112479289.4186,1.73,99.39,120.84544938,43.09521869,29.6934509277344,3544137,3.265
"Bahamas, The",77,12653600000,1.412,99,951.50786894,959.63028391,NA,148687,NA
Bahrain,14,37802005319.1489,1.93,99.6,431.87386284,617.18744003,68.0626831054688,390955,NA
Bangladesh,172,321379163135.647,2.04,52.7,32.75334024,9.3824752,16.1471157073975,55324144,0.5809
Barbados,47,5097283200,1.619,99,644.92359834,534.39199325,NA,98514,NA
Belarus,1,60031163987.191,1.448,NA,100.03036813,241.47359314,91.4498519897461,3308869,4.4987
Belgium,5,543299066998.892,1.62,NA,1169.81131801,3972.55603651,90.0073776245117,3646250,3.1146
Belize,78,2315000000,2.345,94.8,82.74037526,196.69799545,30.9391994476318,125017,1.078
Benin,542,14262408079.7005,5.199,78.1,14.8521438,5.85860563,7.6603798866272,3230146,0.0791
Bermuda,NA,7225977000,1.3,NA,NA,NA,26.5950698852539,21762,NA
Bhutan,57,2446867582.27133,1.569,96.2,14.64338129,80.90132048,15.0442476272583,242359,0.4242
Bolivia,171,40287647930.5355,2.73,71.5,58.95140872,166.53904844,NA,3628433,NA
Bosnia and Herzegovina,6,20484048415.5019,1.384,99.9,156.8061069,368.76448751,50.9316902160645,1156720,NA
Botswana,162,17031943186.1353,2.903,NA,96.02116766,287.81510518,NA,786625,0.3784
Brazil,59,1916933708404.16,1.749,98.8,507.80598203,354.73819906,59.1007804870605,74286342,NA
British Virgin Islands,NA,NA,0.917,NA,NA,NA,21.4700202941895,11805,NA
Brunei Darussalam,45,13567164444.9707,1.848,NA,36.62283147,717.1890248,38.3784446716309,149378,NA
Bulgaria,7,66399602077.1693,1.56,NA,292.26788429,397.63744044,84.5051803588867,2228549,4.2071
Burkina Faso,277,15890066209.8959,5.069,NA,16.50148803,16.57909433,4.6211199760437,5414578,0.0853
Burundi,518,2667182198.97925,5.38,NA,5.53632575,5.71501108,3.57507991790771,2912702,0.097
Cabo Verde,48,2205099509.15921,1.964,97.3,51.03150491,110.48407172,24.1816997528076,189060,0.8312
Cambodia,209,24571753581.7841,2.435,NA,62.75183361,25.33243338,13.7011137008667,5264988,NA
