Year,EUU,USA
2003,523.855160378341,3139.61247958
2004,612.854690322677,3299.29395352
2005,637.780979726302,3490.47066484
2006,691.470106611197,3638.79997776
2007,791.872292050976,3825.71896854
2008,890.016736595736,3856.06570267
2009,856.094233679315,3913.46655075
2010,837.656179369386,4004.76276462
2011,917.796196128947,4094.56629883
2012,868.700570250078,4232.32351547
2013,904.373243831305,4255.82125158
2014,924.023158931589,4340.6129357
2015,787.129889900739,4494.90342427
2016,786.656934921311,4688.31345505
2017,826.527162659719,4846.90995735
2018,887.621369457815,5008.63459575
2019,880.342172569828,5165.8607998
2020,871.497427851412,5059.05114048
