Country Name,comp_qual_log,ship_freq,track_trace_log,infra_qual,log_perf_ind,customs_eff,comp_priced_ship,rule_of_law,political_stability,corr_control,voice_account,govt_eff,reg_qual,legal_rights_ind,food_imp,credit_bureau_covg,fem_sec_educ,fem_prim_educ,prim_compl_fem,enroll_sec_fem_gross,fem_prim_teachers,pupil_teach_ratio_prim,emp_to_pop_ratio_15_plus,external_bal_goods,consump_exp,account_balance,export_good_services,external_health_exp,out_of_pocket_health_exp,dom_govt_health_exp,crop_prod_ind,food_prod_ind,repeaters_female_prim,export_val_ind,goods_exports,goods_imports,mmr,gdp,women_hiv,skilled_health_staff
Afghanistan,1.92,2.38,1.7,1.81,1.95,1.73,2.1,-1.68858671188354,-2.75326204299927,-1.50288057327271,-1.00705206394196,-1.50134539604187,-1.13820362091064,10,34.0330576607125,0,35.28181,38.95507,69.7666091918945,41.1315994262695,36.0520286560059,48.78979,NA,NA,NA,-21.1567791326351,NA,19.73445702,76.22302246,1.90904689,94.93,96.07,3.80515,153.1663181047,875242667.370635,6620779250.25141,663,18418860354.4238,29,58.8
Albania,2.56,3.2,2.67,2.29,2.66,2.35,2.82,-0.414187848567963,0.366642981767654,-0.545840263366699,0.188694432377815,0.0806501731276512,0.256079822778702,8,14.0435873264872,0,49.70777,47.42217,104.547821044922,96.664680480957,84.9326324462891,17.57287,45.22,-13.6642752987277,90.3942824577642,-6.7049216613506,31.5719544148007,1.05872059,56.48965073,9.80235767,106.2,106.08,0.68867,149.7324460631,1163648667.07628,4544969328.78645,5,15156424061.9815,25.9,99.8
Algeria,2.39,2.76,2.6,2.42,2.45,2.13,2.39,-0.807303428649902,-0.842121779918671,-0.658660113811493,-0.995128452777863,-0.488373935222626,-1.34690141677856,2,NA,0,50.72398,47.82363,103.524276733398,NA,80.535041809082,24.32018,NA,-6.34319012251144,59.272247405598,-9.66528865761593,25.8611508241538,0.02693869,32.62851715,10.73443604,115.36,108.6,3.67491,120.5636321868,41123518094.3812,48284091542.4764,79,174910891124.491,46.5,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,1.29671347141266,1.16608023643494,1.78090953826904,NA,0.498739510774612,-0.306241989135742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.3677621283255,NA,NA,68.2316118935837,NA,NA,NA,NA,NA,NA,99.5548812393,NA,NA,NA,639000000,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,1.53662586212158,1.39100873470306,1.17916560173035,1.04732167720795,1.87926542758942,1.18732905387878,NA,22.1275286080598,NA,49.3913,47.83815,62.3595504760742,96.5914077758789,79.8543701171875,10.49757,NA,NA,NA,NA,NA,NA,12.24691391,14.72336102,NA,NA,0.72499,144.6316802689,NA,NA,NA,3218419896.93327,NA,NA
Angola,2,2.59,2,1.86,2.05,1.57,2.2,-1.00093221664429,-0.347750902175903,-1.19925093650818,-0.903365194797516,-1.00511503219604,-0.8006831407547,1,20.4742098971902,0,NA,NA,NA,NA,NA,NA,NA,15.2945663336239,66.8360130986179,9.51578137262661,40.8362898299819,3.40596294,36.2641983,5.36431932,105.93,105.59,NA,122.8341732852,40757766796.592,15797847354.35,233,77792944471.9494,66.2,NA
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,0.376565635204315,0.822919726371765,0.236239701509476,0.579138517379761,-0.0534708015620708,0.401309967041016,5,27.3848165605152,0,48.95696,49.20478,107.729469299316,118.902061462402,92.1568603515625,12.40564,NA,-6.01884197116006,68.4975258950167,-14.5604850942345,64.5720629235058,0.09705941,23.66021156,13.07453442,87.95,87.56,1.04397,38.9823349139,42970058.4666667,622729546.1,19,1604770370.37037,NA,NA
Argentina,2.78,3.37,3.05,2.77,2.89,2.42,2.92,-0.219662562012672,0.00680991401895881,-0.098668172955513,0.539418399333954,0.0280940532684326,-0.195977628231049,2,6.86536216997546,100,NA,NA,101.081398010254,112.910827636719,NA,NA,44.32,-1.88916445518585,85.275279443618,-5.16055251029552,14.4366857499034,0.30367181,27.83134079,15.30844116,92.17,97.49,NA,108.8000140727,61801002638.2899,62544230316.48,34,524819898586.906,35.8,99.5
Armenia,2.5,2.9,2.51,2.48,2.61,2.57,2.65,-0.19733352959156,-0.451120525598526,-0.408891350030899,-0.130894392728806,-0.170385882258415,0.350590288639069,6,16.2201533718823,80,47.77225,46.70534,98.5882186889648,87.9782333374023,NA,15.41859,56.15,-13.6873189639974,91.2875796372273,-7.22812301766319,39.3928940286073,1.216784,84.27638245,5.13385916,71.74,83.48,0.31262,162.394682365,2724729180.6251,4488140884.45777,25,12457940705.3088,31.8,NA
Aruba,NA,NA,NA,NA,NA,NA,NA,1.2594119310379,1.33727550506592,1.2074294090271,1.28269290924072,1.01347315311432,0.846328258514404,NA,27.7702538684234,NA,NA,NA,NA,NA,NA,NA,NA,-0.707986663883746,78.3062000117318,-0.449837908204593,72.2526488751745,NA,NA,NA,NA,NA,NA,58.8712784219,184801641.55377,1224388146.57693,NA,3276187709.49721,NA,NA
